trumpApprove,commonweight,birthyr,gender,race,hispanic,educ,region,age_bin,gender_bin,race_bin,educ_bin,party_id,inputstate
0,0.676890897803493,1953,1,1,2,5,1,65+,Male,White,College degree,3,25
1,1.3508109380812,1956,2,1,2,5,2,45-64,Female,White,College degree,2,18
1,1.17661670418066,1946,1,1,2,6,3,65+,Male,White,Postgraduate,2,48
1,1.52250962879593,1980,1,1,2,6,1,30-44,Male,White,Postgraduate,2,34
0,0.196322781245031,1969,2,7,2,3,4,45-64,Female,Other,Some college,1,6
0,0.830508228679161,1939,1,1,2,3,4,65+,Male,White,Some college,1,6
1,1.94383735018175,1954,2,1,2,3,3,65+,Female,White,Some college,2,28
1,1.40232702626395,1961,2,1,2,5,3,45-64,Female,White,College degree,2,13
0,0.945779486345657,1947,2,1,2,5,2,65+,Female,White,College degree,3,17
1,1.45831003175853,1963,1,1,2,5,3,45-64,Male,White,College degree,2,48
0,0.830508228679161,1947,1,1,2,4,4,65+,Male,White,Some college,3,6
1,0.788417912464292,1948,1,1,2,4,3,65+,Male,White,Some college,2,37
0,0.404111088560941,1971,2,1,2,6,3,45-64,Female,White,Postgraduate,4,37
1,1.49546223352844,1954,1,1,2,3,4,65+,Male,White,Some college,3,30
0,0.899468734965542,1955,2,1,2,4,3,65+,Female,White,Some college,1,48
1,0.364229710672383,1965,1,1,2,5,1,45-64,Male,White,College degree,2,25
1,0.866368704641216,1953,1,1,2,5,4,65+,Male,White,College degree,3,6
0,1.05073642048526,1937,2,1,2,6,1,65+,Female,White,Postgraduate,3,33
0,0.584458053860735,1953,1,1,2,5,3,65+,Male,White,College degree,1,51
0,0.906783878464789,1952,1,1,2,4,3,65+,Male,White,Some college,4,40
1,1.22793336982934,1938,2,1,2,6,2,65+,Female,White,Postgraduate,3,55
1,0.70370162928976,1941,1,1,2,5,1,65+,Male,White,College degree,2,9
1,3.33302694925272,1968,2,4,2,5,4,45-64,Female,Asian,College degree,2,4
0,0.760640816253095,1955,2,1,2,3,1,65+,Female,White,Some college,1,25
1,0.830112771873885,1952,1,1,2,4,2,65+,Male,White,Some college,2,20
0,0.474668290540743,1949,1,1,2,6,3,65+,Male,White,Postgraduate,1,13
0,1.04723156718508,1959,2,1,2,5,2,45-64,Female,White,College degree,1,55
1,1.03751526207849,1975,2,1,2,6,4,45-64,Female,White,Postgraduate,2,2
1,0.901248256401694,1960,2,1,2,5,4,45-64,Female,White,College degree,2,6
1,1.09823423463701,1954,1,1,2,3,2,65+,Male,White,Some college,2,39
0,0.271967363855656,1958,2,1,1,4,3,45-64,Female,Hispanic,Some college,3,21
0,0.393067437986244,1950,2,1,2,5,1,65+,Female,White,College degree,1,23
0,0.209478684514235,1947,1,6,2,4,3,65+,Male,Other,Some college,3,47
1,0.955796484908183,1946,1,1,2,5,3,65+,Male,White,College degree,2,12
