year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,pctWhiteNH
2016,ARKANSAS,AR,SALINE,05125,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,13256,52100,20220315,TOTAL,88.96543998207585
2016,ARKANSAS,AR,SCOTT,05127,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,602,3510,20220315,TOTAL,85.34674619424909
2016,ARKANSAS,AR,SEARCY,05129,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,601,3728,20220315,TOTAL,95.17998779743746
2016,ARKANSAS,AR,SEBASTIAN,05131,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,12300,44637,20220315,TOTAL,72.83448912075328
2016,ARKANSAS,AR,SEVIER,05133,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1075,4562,20220315,TOTAL,61.06225817798101
2016,ARKANSAS,AR,SHARP,05135,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1472,7249,20220315,TOTAL,94.98957367933272
2016,ARKANSAS,AR,STONE,05137,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1203,5618,20220315,TOTAL,96.11102146199774
2016,ARKANSAS,AR,UNION,05139,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5855,16894,20220315,TOTAL,61.773817815029176
2016,ARKANSAS,AR,VAN BUREN,05141,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1549,7339,20220315,TOTAL,94.1428158427291
2016,ARKANSAS,AR,WASHINGTON,05143,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,33366,81861,20220315,TOTAL,74.13685273188389
2016,ARKANSAS,AR,WHITE,05145,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5170,27219,20220315,TOTAL,89.55576314287197
2016,ARKANSAS,AR,WOODRUFF,05147,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1118,2571,20220315,TOTAL,69.43526170798899
2016,ARKANSAS,AR,YELL,05149,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1480,6439,20220315,TOTAL,76.71850349335136
2016,CALIFORNIA,CA,ALAMEDA,06001,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,514842,654266,20220315,TOTAL,34.07064030230336
2016,CALIFORNIA,CA,ALPINE,06003,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,334,602,20220315,TOTAL,72.51063829787235
2016,CALIFORNIA,CA,AMADOR,06005,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,6004,17734,20220315,TOTAL,79.61198183297891
2016,CALIFORNIA,CA,BUTTE,06007,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,41567,95564,20220315,TOTAL,75.18909090909091
2016,CALIFORNIA,CA,CALAVERAS,06009,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,7944,23136,20220315,TOTAL,83.5359164509193
2016,CALIFORNIA,CA,COLUSA,06011,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2661,6632,20220315,TOTAL,39.796442410943556
2016,CALIFORNIA,CA,CONTRA COSTA,06013,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,319287,466175,20220315,TOTAL,47.751292867186194
2016,CALIFORNIA,CA,DEL NORTE,06015,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3485,9558,20220315,TOTAL,64.70814400559244
2016,CALIFORNIA,CA,EL DORADO,06017,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,36404,93591,20220315,TOTAL,79.9130665311668
2016,CALIFORNIA,CA,FRESNO,06019,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,141341,282319,20220315,TOTAL,32.72846472137138
2016,CALIFORNIA,CA,GLENN,06021,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3065,9470,20220315,TOTAL,55.88862812033284
2016,CALIFORNIA,CA,HUMBOLDT,06023,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,33200,59246,20220315,TOTAL,77.2215743223669
2016,CALIFORNIA,CA,IMPERIAL,06025,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,32667,48091,20220315,TOTAL,13.709548038137148
2016,CALIFORNIA,CA,INYO,06027,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3155,8086,20220315,TOTAL,66.30001078399654
2016,CALIFORNIA,CA,KERN,06029,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,98689,244163,20220315,TOTAL,38.563845308236594
2016,CALIFORNIA,CA,KINGS,06031,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,13617,33915,20220315,TOTAL,35.21917611222236
2016,CALIFORNIA,CA,LAKE,06033,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,11496,24496,20220315,TOTAL,74.13283847521843
2016,CALIFORNIA,CA,LASSEN,06035,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2224,10524,20220315,TOTAL,66.68577160051584
2016,CALIFORNIA,CA,LOS ANGELES,06037,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2464364,3434308,20220315,TOTAL,27.787256947397314
2016,CALIFORNIA,CA,MADERA,06039,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,17029,43112,20220315,TOTAL,38.03400391078116
2016,CALIFORNIA,CA,MARIN,06041,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,108707,139273,20220315,TOTAL,72.83020811460764
2016,CALIFORNIA,CA,MARIPOSA,06043,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3122,8877,20220315,TOTAL,83.23927456029807
2016,CALIFORNIA,CA,MENDOCINO,06045,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,22079,37477,20220315,TOTAL,68.58870003756788
